asset_id,system,asset_description,quantity,electrical_rating_or_capacity,power_requirement,location,interconnection_or_duty,unit_weight_kg,total_weight_kg,data_status
PV-MOD,Renewable energy,Solar PV module,TBC,460 W per module,460 W per module,TBC,"PV charging topology TBC; no DC-DC converter installed",TBC,TBC,"Module rating confirmed; count/model/weight TBC"
BAT-LI,Felicity energy storage,Felicity lithium battery,3,10 kWh each,30 kWh stated total,TBC,Inverter/AC/DC topology TBC,TBC,TBC,"Quantity and energy confirmed; model/voltage/weight TBC"
BAT-GEN-P,Generator starting,Port generator starting battery,1,"12 VDC, 200 Ah",2.4 kWh nominal,"Auxiliary machinery compartment, near generator",Independent port generator start supply,TBC,TBC,"Configuration/location confirmed; model/weight TBC"
BAT-GEN-S,Generator starting,Starboard generator starting battery,1,"12 VDC, 200 Ah",2.4 kWh nominal,"Auxiliary machinery compartment, near generator",Independent starboard generator start supply,TBC,TBC,"Configuration/location confirmed; model/weight TBC"
BAT-ME,Main-engine starting,"12 V, 200 Ah battery",2,"2S bank: 24 VDC, 200 Ah",4.8 kWh nominal per bank,"Aft main-engine-compartment platform",Dedicated main-engine starting bank,TBC,TBC,"Configuration/location confirmed; model/weight TBC"
BAT-SVC,Windlass and bridge DC,"12 V, 200 Ah battery",4,"2S2P bank: 24 VDC, 400 Ah",9.6 kWh nominal per bank,"Aft main-engine-compartment platform",Anchor windlass and bridge 24 VDC equipment,TBC,TBC,"Configuration/location confirmed; model/weight TBC"
CHG-12,DC charging,12 VDC battery charger,1,12 VDC output,"Output current and AC input TBC","Above battery platform, aft main-engine compartment","Covers two generator-start batteries; distribution/selection TBC",TBC,TBC,"Quantity/output voltage/location confirmed; model/rating/weight TBC"
CHG-24-ME,DC charging,Main-engine-bank battery charger,1,24 VDC output,"Output current and AC input TBC","Above battery platform, aft main-engine compartment",Charges two-battery main-engine starting bank,TBC,TBC,"Quantity/output voltage/location confirmed; manufacturer/model/rating/weight TBC"
CHG-24-SVC,DC charging,Emerson battery charger,1,"24 VDC, 60 A output","1.44 kW nominal DC output; AC input TBC","Above battery platform, aft main-engine compartment",Charges four-battery windlass/bridge bank,TBC,TBC,"Output/location/duty confirmed; model/input/weight TBC"
SOC-PAX-GEN,AC distribution,Passenger general P&S socket outlet,4,"Voltage/current rating TBC",Design demand TBC,Passenger space,General-purpose passenger supply,TBC,TBC,"Quantity confirmed; circuit/rating TBC"
SOC-PAX-TV,AC distribution,Dedicated P&S socket outlet for 65-inch LED TV,1,"Voltage/current rating TBC","TV input power and design demand TBC",Passenger space,Exclusively supplies 65-inch LED TV,TBC,TBC,"Quantity/duty confirmed; circuit/rating/TV data TBC"
SOC-WH,AC distribution,Wheelhouse socket outlet,4,"Voltage/current rating TBC",Design demand TBC,Wheelhouse,Wheelhouse portable equipment supply,TBC,TBC,"Quantity/location confirmed; circuit/rating TBC"
SWG-TR,Sewage,Sewage transfer pump,1,"220 VAC, single-phase",Motor kW and current TBC,"Sewage system; exact location TBC",Sewage transfer duty,TBC,TBC,"Quantity/voltage/phase/duty confirmed; nameplate/location/weight TBC"
SWG-DIS,Sewage,Sewage discharge pump,1,"220 VAC, single-phase",Motor kW and current TBC,"Sewage system; exact location TBC",Sewage discharge duty,TBC,TBC,"Quantity/voltage/phase/duty confirmed; nameplate/location/weight TBC"
SWG-AIR,Sewage,Sewage air blower,1,"220 VAC, single-phase",Motor kW and current TBC,"Sewage system; exact location TBC",Sewage aeration duty,TBC,TBC,"Quantity/voltage/phase/duty confirmed; nameplate/location/weight TBC"
FTR-P,Fuel transfer,Port fuel-transfer pony pump,1,"380 VAC, three-phase, DAL",Motor kW and current TBC,"Port fuel system; exact location TBC",Port fuel-transfer duty; starter/protection TBC,TBC,TBC,"Quantity/voltage/phase/designation/duty confirmed; remaining data TBC"
FTR-S,Fuel transfer,Starboard fuel-transfer pony pump,1,"380 VAC, three-phase, DAL",Motor kW and current TBC,"Starboard fuel system; exact location TBC",Starboard fuel-transfer duty; starter/protection TBC,TBC,TBC,"Quantity/voltage/phase/designation/duty confirmed; remaining data TBC"
BP,BP,BP equipment,3,TBC,TBC,TBC,"Expansion, individual duties and interconnections TBC",TBC,TBC,"Quantity confirmed as three only; all other data TBC"
